Quelle,Kategorie,Rezept,Zeile,MaterialNr,Material,Menge_kg,Anteil_Prozent,Wasser_Prozent,Wasser_kg,BEFFE_Prozent,BEFFE_kg,BE_Prozent,BE_kg,Fett_Prozent,Fett_kg,Preis_kg,Kosten,Aktiv
kochwurst,Kochwurst,Blutw.TH wolfen,6,3,S III,0,0,64.8,0,19.9,0,3.4,0,11.9,0,2.1,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,7,4,R I,0,0,69.4,0,23.8,0,1.8,0,5,0,4.7,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,8,5,R II,0,0,65.8,0,21.9,0,4,0,8.3,0,3.6,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,9,6,R III,0,0,51.98,0,12.92,0,1.61,0,29.83,0,2.8,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,10,7,S IV Bauch,0,0,45.6,0,15,0,2.4,0,37,0,2.1,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,11,8,S V Bauch Fett,0,0,20.1,0,9,0,1.4,0,69.5,0,1.8,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,13,10,S V II Speck,0,0,7.3,0,0.9,0,1.8,0,90,0,0.8,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,14,11,S V III Kutterfett,0,0,100,0,0,0,0,0,0,0,0.6,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,16,13,Kopffleisch,0,0,51,0,14.9,0,5.1,0,29,0,0.8,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,17,14,Zunge,0,0,61.2,0,15.4,0,3.4,0,20,0,2.1,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,18,15,Schwarten,0,0,55,0,0,0,30,0,15,0,0.05,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,19,16,Einlage S I,0,0,69.3,0,24.5,0,1.1,0,5.1,0,3.8,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,20,17,Einlage S II,0,0,66.7,0,23.7,0,1.4,0,8.2,0,2.9,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,21,18,Einlage SIV Bauch,0,0,45.6,0,15,0,2.4,0,37,0,2.6,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,22,19,Einlage Wamme,0,0,27.5,0,11.6,0,2.7,0,58.2,0,1.1,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,23,20,Einlage Speck,0,0,7.3,0,0.9,0,1.8,0,90,0,0.8,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,24,21,Eis / Brühe,0,0,100,0,0,0,0,0,0,0,0.05,0,FALSE
kochwurst,Kochwurst,Blutw.TH wolfen,25,22,Blut,0,0,76.4,0,21,0,1.8,0,0.8,0,0.1,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,4,1,S I,0,0,69.3,0,24.5,0,1.1,0,5.1,0,3.1,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,5,2,S II,0,0,66.7,0,23.7,0,1.4,0,8.2,0,2.6,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,6,3,S III,0.75,15,64.8,0.486,19.9,0.14925,3.4,0.0255,11.9,0.08925,2.1,1.575,TRUE
